"names","center_x","center_y","cluster_no","cell_type"
"2997859600113100167-mPFC_NF3_r1-mPFC","12327.2780450298","251.863716264648","20","N_Npy"
"2997859600113200028-mPFC_NF3_r1-mPFC","12327.4140086082","256.825433350207","20","N_Npy"
"2997859600114100049-mPFC_NF3_r1-mPFC","12423.789058964","251.808270815022","17","N_Vip"
"2997859600114100072-mPFC_NF3_r1-mPFC","12419.4598979744","249.237627104863","17","N_Vip"
"2997859600155100225-mPFC_NF3_r1-mPFC","12067.1906875429","368.017768820235","13","N_Sst"
"2997859600155100226-mPFC_NF3_r1-mPFC","12056.2208123203","365.034271284051","5","N_Otof"
"2997859600155100227-mPFC_NF3_r1-mPFC","12078.5295056058","370.355364944738","5","N_Otof"
"2997859600155100253-mPFC_NF3_r1-mPFC","12023.7297141099","367.224614361841","5","N_Otof"
"2997859600155100254-mPFC_NF3_r1-mPFC","12079.7831033451","364.802996104998","5","N_Otof"
"2997859600155100256-mPFC_NF3_r1-mPFC","12081.4763587249","374.523695724999","5","N_Otof"
"2997859600155200013-mPFC_NF3_r1-mPFC","12064.2664512977","351.866031837647","5","N_Otof"
"2997859600156100069-mPFC_NF3_r1-mPFC","12177.8586846795","339.813383490698","5","N_Otof"
"2997859600156100151-mPFC_NF3_r1-mPFC","12145.4890921433","334.267915555133","5","N_Otof"
"2997859600156100179-mPFC_NF3_r1-mPFC","12179.1110068382","342.602016843186","5","N_Otof"
"2997859600156100181-mPFC_NF3_r1-mPFC","12162.0643149259","352.73738379979","5","N_Otof"
"2997859600156200014-mPFC_NF3_r1-mPFC","12103.2427848709","365.40190528496","5","N_Otof"
"2997859600157100128-mPFC_NF3_r1-mPFC","12241.3367914207","323.298669737531","5","N_Otof"
"2997859600157100134-mPFC_NF3_r1-mPFC","12222.6999524124","324.320558959567","20","N_Npy"
"2997859600157100178-mPFC_NF3_r1-mPFC","12250.1626102046","348.518173263256","5","N_Otof"
"2997859600157100184-mPFC_NF3_r1-mPFC","12287.6281524237","356.997744185189","5","N_Otof"
