Gene_pair,BLA_FR15-BLA,BLA_FR16-BLA,BLA_FR1_r0-BLA,BLA_FR1_r1-BLA,BLA_FR24-BLA,BLA_FR2_r0-BLA,BLA_HC11_r0-BLA,BLA_HC11_r1-BLA,BLA_HC1_r0-BLA,BLA_HC1_r1-BLA,BLA_NF11-BLA,BLA_NF1_r0-BLA,BLA_NF1_r1-BLA,BLA_NF2_r0-BLA,BLA_NF2_r1-BLA,BLA_NF3_r1-BLA,mPFC_FR2_r0-mPFC,mPFC_FR2_r1-mPFC,mPFC_FR3_r0-mPFC,mPFC_FR3_r1-mPFC,mPFC_HC11_r0-mPFC,mPFC_HC11_r1-mPFC,mPFC_HC11_r2-mPFC,mPFC_HC11_r3-mPFC,mPFC_HC1_r0-mPFC,mPFC_HC1_r1-mPFC,mPFC_HC1_r2-mPFC,mPFC_HC1_r3-mPFC,mPFC_NF2_r0-mPFC,mPFC_NF2_r1-mPFC,mPFC_NF3_r0-mPFC,mPFC_NF3_r1-mPFC
N_Npy-N_Npy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N_Npy-N_Otof,24.453529742613938,30.658510647685507,28.737832650310818,25.793276493180098,16.791750082046434,31.038301892886906,29.738609485290485,38.9747795280717,16.99227490018047,23.438229978267483,21.740971824133776,33.009211699951216,27.608869005755697,29.0128703786323,25.513972158237358,21.313201180642142,18.41325761332627,25.956610629186567,25.179527444071784,34.33068956634193,19.420917530209426,20.1129897289001,22.356496938017177,20.510460262860793,12.430640177243399,21.909047642409103,19.92355884553444,6.7755331403597605,25.095760185136832,14.342671665397653,20.433177419020936,26.659732468652095
N_Npy-N_Vip,49.31915257679914,38.27645991258882,46.74760357029224,41.45542048665988,43.125648673857775,53.81848056729432,46.046719627284084,39.60420038263177,35.73282320041317,34.38750730411154,33.76359792787098,37.46493354529727,30.695563351558,40.056543959767794,40.86886321178037,45.12029976656761,24.666316288193542,23.17158581987865,32.2987637253877,28.158752426643765,23.13106775920998,18.30324536928017,19.79542444577812,18.385733032847003,16.805572814162932,14.974380243869604,10.957672863854244,9.34854360186157,22.93975076589951,18.807206134785527,12.686885779682772,21.17720086800116
N_Npy-N_Arhgap25,-2.04058183737351,0.0,-5.415340582527301,-5.32299451271934,-4.217078949190829,-5.1116139793034385,-7.839125427428961,-5.313086877485392,-5.642327800628368,-1.6804800097575743,-4.155050410024206,-3.758626918407661,-5.737325388374396,-5.341693358724146,-7.067424385714839,-1.2231529321306165,-10.359317973268018,-11.537116012841048,-5.0276070576398615,-8.757979531978023,-7.640892018973291,-6.388540722575932,-8.42080548566242,-4.947190781951245,-5.633738844452245,-5.416542709701821,-7.296658162831549,-5.802973639498007,-9.154288294477803,-7.295877159639237,-10.55890981030231,-9.244804443235761
N_Npy-N_Slc30a3,6.826785744507214,9.505274633835738,7.213264001005787,3.4245120404954,-4.360974993997652,3.9804710967689867,0.9114166191008894,3.4467705754585825,6.672340252474562,8.632865791752836,7.76868774994263,-0.5405199024184322,-0.5651016698750592,6.824335545849054,-0.7287034716477508,0.774496288725207,-5.749332146567178,-5.11628262373728,3.313685099308682,5.070062713210698,-5.051472082062503,-0.9993975607325976,-4.01816785475786,-4.44145738498462,-2.3296913963734878,0.5122376285474631,-3.423451509038762,-2.4541248743113164,-0.7466876511687155,-1.203967058537598,-3.802263872224205,-5.365765800674405
N_Npy-N_Sst,3.888365698597383,9.505276497226912,2.6333420437493094,6.439483286409637,0.0,5.851078070625916,5.3703192764188685,0.0,4.314057539600788,4.697789408135355,5.4686086065091,2.7961628132106906,2.383019699063167,2.8636480711411165,4.4361127956025435,2.3401664448617265,-0.8898084104153552,-3.411052948509807,-1.802909409527379,-1.7504580716309266,0.0,-1.023330053195144,-0.7685196156689945,0.0,0.0,0.0,0.0,0.0,0.0,-0.7389146370655848,-3.2527437289645005,-2.240553146312959
N_Npy-N_Dusp1,-3.0353751166143117,-1.308284722308036,-1.3248031514951732,0.0,-3.0901048468527454,-0.6229965011242682,0.0,-0.6074042527615601,1.9599447810644923,0.9948432361699605,-1.0499880798629024,-1.3409935458134952,0.0,3.2506120780846106,0.0,0.0,-2.3862360908793576,-4.179756099075732,-1.2801556243898178,0.562113922147256,0.0,0.612250742843316,-2.092092926134276,0.0,-1.4599687756326731,-0.5274706812291369,0.0,-1.27456133346362,-1.0327480224110992,0.0,-1.5748275695157385,0.0
N_Npy-N_Rprm,4.87480896350814,1.8167004617970792,0.5717831070683544,-1.2861989011125168,-3.8341570417867175,0.8598270166079921,1.4081787083425412,0.0,3.1599897492571363,2.1583878737144597,-2.3211732976141977,2.2011201913511154,0.0,-0.8095305721383312,1.2179030018103498,8.62253004989234,-5.348571708703927,-4.987694531943479,1.9990232743501435,-5.204363114215772,-3.317949052904114,-5.036361269822721,-6.2358594857140055,-4.62830537526864,-3.4697942181064696,-1.6007100163295176,-1.0692952107429816,1.6701849690592179,-6.546297719207219,-0.507183779022959,-2.8453774369744758,-7.085834801797236
N_Npy-N_Crym,1.704433110982433,5.0721376475926565,8.83616107315348,10.19960758193682,4.731567580826121,2.428047594127269,6.030707880352641,6.903419919625018,10.226764552143955,6.8476598264705295,7.694443166748263,6.348241480577478,5.5691615560907906,3.7027996699492394,4.442729227823939,7.504237110384981,-3.2736758219435607,-4.541552639118662,5.471117636374413,1.845662165205726,1.1003492817948766,2.0054562246598544,-3.237347805002802,-2.5887600039418905,-3.2293995796722053,3.4897279875775418,-1.615577151668533,2.0912457638337347,0.0,2.5939426774902516,-2.5575044914923732,-2.2476037016661112
N_Npy-N_Lhx6,2.692803246639698,3.283190306617277,1.0010083290258265,-0.9405277422769783,-6.343157204666057,-2.2248052991021483,-2.19851098008273,-2.1337255255490155,-2.145163589722408,0.0,1.2338038484763139,4.011086070689688,0.886706983213078,1.4956519034452966,2.1479747153117574,2.6849771216202174,-2.0119210412159707,-1.4362748346339358,1.314345970805859,-2.331789905024403,1.2520249695117118,-0.5878189470810227,0.0,-1.2889308373642439,1.0310883037567444,0.0,-0.5941662630263553,0.0,0.5611754022918398,-1.125642607339006,-0.5714362495619143,-2.5239478796247945
