names,center_x,center_y,cluster_no,cell_type,fov
2788213100251100149-BLA_FR24-BLA,2349.17483296892,409.844835501537,20,N_Npy,BLA_FR24-BLA
2788213100251100320-BLA_FR24-BLA,2363.4544331255,482.994742349352,20,N_Npy,BLA_FR24-BLA
2788213100329100152-BLA_FR24-BLA,2352.50031163399,580.328750219529,20,N_Npy,BLA_FR24-BLA
2788213100329100160-BLA_FR24-BLA,2284.66371451959,591.267484898055,20,N_Npy,BLA_FR24-BLA
2788213100329100246-BLA_FR24-BLA,2322.97792286486,569.039041543768,17,N_Vip,BLA_FR24-BLA
2788213100329100272-BLA_FR24-BLA,2347.92479550793,580.262919915811,17,N_Vip,BLA_FR24-BLA
2788213100329100336-BLA_FR24-BLA,2284.49868069496,593.099996624786,20,N_Npy,BLA_FR24-BLA
2788213100330100014-BLA_FR24-BLA,2486.56560328965,487.94490020023,5,N_Otof,BLA_FR24-BLA
2788213100330100018-BLA_FR24-BLA,2413.1956030018,487.114500333113,20,N_Npy,BLA_FR24-BLA
2788213100330100035-BLA_FR24-BLA,2483.60205645144,501.603775199507,5,N_Otof,BLA_FR24-BLA
2788213100330100075-BLA_FR24-BLA,2418.15548387014,586.815217990448,5,N_Otof,BLA_FR24-BLA
2788213100330100078-BLA_FR24-BLA,2485.37179607269,527.158723464295,5,N_Otof,BLA_FR24-BLA
2788213100330100090-BLA_FR24-BLA,2446.29968558588,538.069324749049,5,N_Otof,BLA_FR24-BLA
2788213100330100091-BLA_FR24-BLA,2443.16104279939,581.998330312543,5,N_Otof,BLA_FR24-BLA
2788213100330100100-BLA_FR24-BLA,2485.33370246985,538.983474377173,5,N_Otof,BLA_FR24-BLA
2788213100330100113-BLA_FR24-BLA,2454.90503424985,549.645172925733,5,N_Otof,BLA_FR24-BLA
2788213100330100117-BLA_FR24-BLA,2434.75723985858,552.720660375377,17,N_Vip,BLA_FR24-BLA
2788213100330100139-BLA_FR24-BLA,2475.04481865297,568.007003717382,5,N_Otof,BLA_FR24-BLA
2788213100330100155-BLA_FR24-BLA,2424.88051420577,580.803677057265,5,N_Otof,BLA_FR24-BLA
2788213100330100157-BLA_FR24-BLA,2472.82666674801,581.323543072875,5,N_Otof,BLA_FR24-BLA
2788213100330100165-BLA_FR24-BLA,2493.33670036121,588.732811413647,5,N_Otof,BLA_FR24-BLA
2788213100330100170-BLA_FR24-BLA,2434.77668202156,594.478883658453,5,N_Otof,BLA_FR24-BLA
2788213100330100172-BLA_FR24-BLA,2471.44237026121,593.993475358211,5,N_Otof,BLA_FR24-BLA
2788213100330100175-BLA_FR24-BLA,2412.75909256951,596.459936651592,5,N_Otof,BLA_FR24-BLA
2788213100330100185-BLA_FR24-BLA,2381.5288355296,603.257087998432,16,N_Dusp1,BLA_FR24-BLA
2788213100330100190-BLA_FR24-BLA,2390.47664451424,608.185553646098,16,N_Dusp1,BLA_FR24-BLA
2788213100330100199-BLA_FR24-BLA,2426.55582810014,610.005882329734,5,N_Otof,BLA_FR24-BLA
2788213100330100236-BLA_FR24-BLA,2410.12180744803,514.228964802595,17,N_Vip,BLA_FR24-BLA
2788213100330100238-BLA_FR24-BLA,2403.93814754977,527.510402494048,17,N_Vip,BLA_FR24-BLA
2788213100330100242-BLA_FR24-BLA,2406.13583821356,617.407001930021,1,N_Slc30a3,BLA_FR24-BLA
2788213100330100243-BLA_FR24-BLA,2492.69615530309,541.030661326834,5,N_Otof,BLA_FR24-BLA
2788213100330100244-BLA_FR24-BLA,2400.22381957478,604.22739088023,5,N_Otof,BLA_FR24-BLA
2788213100330100249-BLA_FR24-BLA,2460.53241705472,560.139794542456,5,N_Otof,BLA_FR24-BLA
2788213100330100252-BLA_FR24-BLA,2454.3920372721,568.975662448056,5,N_Otof,BLA_FR24-BLA
2788213100330100256-BLA_FR24-BLA,2432.74318815783,579.991846232249,5,N_Otof,BLA_FR24-BLA
2788213100330100257-BLA_FR24-BLA,2498.57302224144,580.084316314766,5,N_Otof,BLA_FR24-BLA
2788213100330100264-BLA_FR24-BLA,2496.78176139062,592.102436944512,5,N_Otof,BLA_FR24-BLA
2788213100330100267-BLA_FR24-BLA,2387.00184629375,613.550748901428,16,N_Dusp1,BLA_FR24-BLA
2788213100330100289-BLA_FR24-BLA,2445.49954642261,510.723868028781,17,N_Vip,BLA_FR24-BLA
2788213100330100314-BLA_FR24-BLA,2486.33342391659,574.71327206549,5,N_Otof,BLA_FR24-BLA
2788213100330200014-BLA_FR24-BLA,2443.20206709806,513.955624464662,17,N_Vip,BLA_FR24-BLA
2788213100330200019-BLA_FR24-BLA,2492.37527299138,537.583903252641,5,N_Otof,BLA_FR24-BLA
2788213100330200026-BLA_FR24-BLA,2459.40416163266,561.1901499963,5,N_Otof,BLA_FR24-BLA
2788213100330200038-BLA_FR24-BLA,2433.05788504426,594.600739650924,5,N_Otof,BLA_FR24-BLA
2788213100330200046-BLA_FR24-BLA,2452.99738818027,613.631432024641,5,N_Otof,BLA_FR24-BLA
2788213100330200051-BLA_FR24-BLA,2494.12138128243,615.923963154396,5,N_Otof,BLA_FR24-BLA
2788213100330200073-BLA_FR24-BLA,2401.44010050534,518.123525046993,17,N_Vip,BLA_FR24-BLA
2788213100331100068-BLA_FR24-BLA,2528.37782708022,524.965957953835,5,N_Otof,BLA_FR24-BLA
2788213100331100145-BLA_FR24-BLA,2516.12361759806,574.741153919391,5,N_Otof,BLA_FR24-BLA
2788213100331100170-BLA_FR24-BLA,2524.10516876379,584.590021572439,5,N_Otof,BLA_FR24-BLA
2788213100331100186-BLA_FR24-BLA,2532.55440218801,596.129419333357,5,N_Otof,BLA_FR24-BLA
2788213100331100264-BLA_FR24-BLA,2526.28362700819,534.548077178115,5,N_Otof,BLA_FR24-BLA
2788213100332100318-BLA_FR24-BLA,2753.12798082115,553.949177957367,5,N_Otof,BLA_FR24-BLA
