names,center_x,center_y,cluster_no,cell_type,fov
2944534200047100063-BLA_HC1_r0-BLA,5727.16424769786,51.3392598908001,5,N_Otof,BLA_HC1_r0-BLA
2944534200047100084-BLA_HC1_r0-BLA,5730.72543257837,72.0998577351511,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200047100104-BLA_HC1_r0-BLA,5716.69073052666,91.8314991560782,5,N_Otof,BLA_HC1_r0-BLA
2944534200047100115-BLA_HC1_r0-BLA,5710.83557826712,103.586480575786,5,N_Otof,BLA_HC1_r0-BLA
2944534200047100125-BLA_HC1_r0-BLA,5702.34900356558,110.450481471167,5,N_Otof,BLA_HC1_r0-BLA
2944534200047100189-BLA_HC1_r0-BLA,5664.7120405538,110.827258988755,5,N_Otof,BLA_HC1_r0-BLA
2944534200047100190-BLA_HC1_r0-BLA,5725.11230285214,111.65120577451,5,N_Otof,BLA_HC1_r0-BLA
2944534200047200046-BLA_HC1_r0-BLA,5680.77707017499,106.062414865085,5,N_Otof,BLA_HC1_r0-BLA
2944534200048100043-BLA_HC1_r0-BLA,5744.76057725641,40.998321830243,5,N_Otof,BLA_HC1_r0-BLA
2944534200048100071-BLA_HC1_r0-BLA,5744.31841756501,105.579977510174,5,N_Otof,BLA_HC1_r0-BLA
2944534200048100077-BLA_HC1_r0-BLA,5817.108430486,58.7778200365402,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200048100078-BLA_HC1_r0-BLA,5797.84177500365,56.8719749151263,17,N_Vip,BLA_HC1_r0-BLA
2944534200048100085-BLA_HC1_r0-BLA,5777.19035549084,63.8719424204058,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200048100088-BLA_HC1_r0-BLA,5804.90059725429,67.5825630713772,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200048100090-BLA_HC1_r0-BLA,5846.55821788,69.1206547813741,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200048100091-BLA_HC1_r0-BLA,5790.85435404368,72.7628413690883,1,N_Slc30a3,BLA_HC1_r0-BLA
2944534200048100094-BLA_HC1_r0-BLA,5834.97066237382,78.2569258275646,1,N_Slc30a3,BLA_HC1_r0-BLA
