names,center_x,center_y,cluster_no,cell_type,fov
31565300027100132-BLA_NF1_r1-BLA,3330.99110244243,84.8537844249226,5,N_Otof,BLA_NF1_r1-BLA
31565300027200037-BLA_NF1_r1-BLA,3358.19756805245,80.3075343876045,17,N_Vip,BLA_NF1_r1-BLA
31565300028100096-BLA_NF1_r1-BLA,3461.8064570432,23.8588734280982,20,N_Npy,BLA_NF1_r1-BLA
31565300028100102-BLA_NF1_r1-BLA,3386.04898817729,26.5315700571727,17,N_Vip,BLA_NF1_r1-BLA
31565300028100139-BLA_NF1_r1-BLA,3470.79006966447,53.8522686883825,5,N_Otof,BLA_NF1_r1-BLA
31565300028100144-BLA_NF1_r1-BLA,3476.16894286033,60.1029985106202,17,N_Vip,BLA_NF1_r1-BLA
31565300028100162-BLA_NF1_r1-BLA,3449.55786685968,77.5516359276668,5,N_Otof,BLA_NF1_r1-BLA
31565300028100165-BLA_NF1_r1-BLA,3413.17635614778,85.2628855142727,5,N_Otof,BLA_NF1_r1-BLA
31565300028200047-BLA_NF1_r1-BLA,3428.41143727957,89.9385398579706,5,N_Otof,BLA_NF1_r1-BLA
31565300028200049-BLA_NF1_r1-BLA,3444.02128053514,90.4836306816771,5,N_Otof,BLA_NF1_r1-BLA
31565300028200050-BLA_NF1_r1-BLA,3401.55948215125,89.7036433629527,17,N_Vip,BLA_NF1_r1-BLA
31565300028200052-BLA_NF1_r1-BLA,3378.24099732431,91.3186916854133,5,N_Otof,BLA_NF1_r1-BLA
31565300029100114-BLA_NF1_r1-BLA,3482.8344357139,56.4417532330978,17,N_Vip,BLA_NF1_r1-BLA
31565300029100122-BLA_NF1_r1-BLA,3502.37786400323,61.1153234537248,5,N_Otof,BLA_NF1_r1-BLA
31565300029100128-BLA_NF1_r1-BLA,3537.25894573682,64.8411106084819,5,N_Otof,BLA_NF1_r1-BLA
31565300029100136-BLA_NF1_r1-BLA,3518.68858709087,77.6591920022934,5,N_Otof,BLA_NF1_r1-BLA
31565300029100138-BLA_NF1_r1-BLA,3504.38296123506,73.88100959175,5,N_Otof,BLA_NF1_r1-BLA
31565300029100140-BLA_NF1_r1-BLA,3551.27240644484,83.8675120262833,5,N_Otof,BLA_NF1_r1-BLA
31565300029100145-BLA_NF1_r1-BLA,3505.55124135988,84.7420615738701,5,N_Otof,BLA_NF1_r1-BLA
31565300029200027-BLA_NF1_r1-BLA,3558.35364446178,39.8234515149346,5,N_Otof,BLA_NF1_r1-BLA
31565300030100124-BLA_NF1_r1-BLA,3636.76249192642,37.6515758182653,5,N_Otof,BLA_NF1_r1-BLA
31565300030100140-BLA_NF1_r1-BLA,3659.12105802299,46.1156968588086,5,N_Otof,BLA_NF1_r1-BLA
31565300030100150-BLA_NF1_r1-BLA,3675.6774605339,54.7435041242155,5,N_Otof,BLA_NF1_r1-BLA
31565300030100159-BLA_NF1_r1-BLA,3659.64426626877,58.5880000057341,5,N_Otof,BLA_NF1_r1-BLA
31565300030100173-BLA_NF1_r1-BLA,3683.91843374671,72.9622874670609,16,N_Dusp1,BLA_NF1_r1-BLA
31565300030100191-BLA_NF1_r1-BLA,3684.55456602578,87.0918642849636,5,N_Otof,BLA_NF1_r1-BLA
31565300030200045-BLA_NF1_r1-BLA,3715.56812006893,68.1924511452479,5,N_Otof,BLA_NF1_r1-BLA
31565300030200051-BLA_NF1_r1-BLA,3609.27479221202,88.6686672041956,5,N_Otof,BLA_NF1_r1-BLA
31565300030200052-BLA_NF1_r1-BLA,3626.50061904739,90.0047105661522,5,N_Otof,BLA_NF1_r1-BLA
31565300030200058-BLA_NF1_r1-BLA,3607.00240521198,94.7553131278949,5,N_Otof,BLA_NF1_r1-BLA
31565300030200075-BLA_NF1_r1-BLA,3680.51895113956,90.0417886161259,5,N_Otof,BLA_NF1_r1-BLA
31565300031100046-BLA_NF1_r1-BLA,3773.78486417364,-7.49387776092484,20,N_Npy,BLA_NF1_r1-BLA
31565300031100129-BLA_NF1_r1-BLA,3811.91996150936,54.1284053424317,5,N_Otof,BLA_NF1_r1-BLA
31565300031100147-BLA_NF1_r1-BLA,3791.43083939567,63.9177133278044,5,N_Otof,BLA_NF1_r1-BLA
31565300031100155-BLA_NF1_r1-BLA,3755.36551105242,72.0456904975418,5,N_Otof,BLA_NF1_r1-BLA
31565300031100159-BLA_NF1_r1-BLA,3730.89730897727,74.0078207437509,5,N_Otof,BLA_NF1_r1-BLA
31565300031100169-BLA_NF1_r1-BLA,3817.98411105571,84.323639806151,13,N_Sst,BLA_NF1_r1-BLA
31565300031100220-BLA_NF1_r1-BLA,3810.13797184464,57.6585599641787,5,N_Otof,BLA_NF1_r1-BLA
31565300031200060-BLA_NF1_r1-BLA,3740.99423008683,76.1848603316842,5,N_Otof,BLA_NF1_r1-BLA
31565300032100131-BLA_NF1_r1-BLA,3863.92691982728,53.7120354390476,5,N_Otof,BLA_NF1_r1-BLA
31565300032100144-BLA_NF1_r1-BLA,3868.47434803841,63.6483143750887,5,N_Otof,BLA_NF1_r1-BLA
31565300032100155-BLA_NF1_r1-BLA,3871.64172556173,70.7343013735416,5,N_Otof,BLA_NF1_r1-BLA
31565300032100225-BLA_NF1_r1-BLA,3870.80722665395,67.8147642124904,5,N_Otof,BLA_NF1_r1-BLA
31565300032100229-BLA_NF1_r1-BLA,3927.37935699754,86.4480395914994,5,N_Otof,BLA_NF1_r1-BLA
31565300032200030-BLA_NF1_r1-BLA,3854.03955049157,8.26554564619517,17,N_Vip,BLA_NF1_r1-BLA
31565300032200061-BLA_NF1_r1-BLA,3948.16784410359,80.3705763744962,5,N_Otof,BLA_NF1_r1-BLA
31565300032200062-BLA_NF1_r1-BLA,3839.99494813965,83.0498027879709,5,N_Otof,BLA_NF1_r1-BLA
31565300032200064-BLA_NF1_r1-BLA,3919.99905690735,86.2449638195528,5,N_Otof,BLA_NF1_r1-BLA
31565300033100157-BLA_NF1_r1-BLA,4022.61426246745,73.0809324466225,17,N_Vip,BLA_NF1_r1-BLA
31565300033100173-BLA_NF1_r1-BLA,4001.5015132083,91.607191414386,5,N_Otof,BLA_NF1_r1-BLA
31565300033200044-BLA_NF1_r1-BLA,3955.89422324578,74.4194977549465,16,N_Dusp1,BLA_NF1_r1-BLA
31565300092100096-BLA_NF1_r1-BLA,2599.43727832202,208.624743456869,5,N_Otof,BLA_NF1_r1-BLA
31565300092200022-BLA_NF1_r1-BLA,2533.96437430733,194.246870040864,17,N_Vip,BLA_NF1_r1-BLA
31565300092200026-BLA_NF1_r1-BLA,2646.98292858809,200.801367934856,5,N_Otof,BLA_NF1_r1-BLA
31565300093100054-BLA_NF1_r1-BLA,2717.38824065305,191.340641280341,16,N_Dusp1,BLA_NF1_r1-BLA
31565300093100072-BLA_NF1_r1-BLA,2692.26248650769,202.635794120423,20,N_Npy,BLA_NF1_r1-BLA
31565300093100118-BLA_NF1_r1-BLA,2695.77738819,205.0293968597,20,N_Npy,BLA_NF1_r1-BLA
31565300093200018-BLA_NF1_r1-BLA,2729.03264251198,198.316184840666,5,N_Otof,BLA_NF1_r1-BLA
31565300093200019-BLA_NF1_r1-BLA,2655.01782739269,199.332806112436,5,N_Otof,BLA_NF1_r1-BLA
31565300094100041-BLA_NF1_r1-BLA,2781.98086904411,183.158598618711,5,N_Otof,BLA_NF1_r1-BLA
31565300094100045-BLA_NF1_r1-BLA,2830.50311761495,187.333219844019,5,N_Otof,BLA_NF1_r1-BLA
31565300094100056-BLA_NF1_r1-BLA,2767.60802214214,191.472620926649,11,N_Lhx6,BLA_NF1_r1-BLA
31565300094100080-BLA_NF1_r1-BLA,2790.32968765074,208.237147413406,5,N_Otof,BLA_NF1_r1-BLA
31565300094100084-BLA_NF1_r1-BLA,2772.71197979063,207.704907483436,16,N_Dusp1,BLA_NF1_r1-BLA
31565300094100111-BLA_NF1_r1-BLA,2851.86706284057,181.560847799783,5,N_Otof,BLA_NF1_r1-BLA
31565300094100117-BLA_NF1_r1-BLA,2779.21158802959,191.363976477671,5,N_Otof,BLA_NF1_r1-BLA
31565300094200011-BLA_NF1_r1-BLA,2833.75327682818,177.608953410986,5,N_Otof,BLA_NF1_r1-BLA
31565300094200014-BLA_NF1_r1-BLA,2851.73323013727,182.632116249703,5,N_Otof,BLA_NF1_r1-BLA
31565300095100041-BLA_NF1_r1-BLA,2999.69338821692,188.823747343099,5,N_Otof,BLA_NF1_r1-BLA
31565300095100057-BLA_NF1_r1-BLA,2960.70531697902,197.628927229335,13,N_Sst,BLA_NF1_r1-BLA
31565300095100100-BLA_NF1_r1-BLA,2946.21150646168,198.123542397429,1,N_Slc30a3,BLA_NF1_r1-BLA
31565300095100101-BLA_NF1_r1-BLA,2966.4791846171,204.346404117688,5,N_Otof,BLA_NF1_r1-BLA
31565300095200016-BLA_NF1_r1-BLA,2964.37499752162,202.152796271192,13,N_Sst,BLA_NF1_r1-BLA
31565300096100005-BLA_NF1_r1-BLA,3054.57619929267,172.586176175367,5,N_Otof,BLA_NF1_r1-BLA
31565300096100033-BLA_NF1_r1-BLA,3049.19716973472,187.352397880383,5,N_Otof,BLA_NF1_r1-BLA
31565300096100050-BLA_NF1_r1-BLA,3096.60247990116,200.159252358859,5,N_Otof,BLA_NF1_r1-BLA
31565300096100052-BLA_NF1_r1-BLA,3058.77325876005,200.832918225325,5,N_Otof,BLA_NF1_r1-BLA
31565300096100055-BLA_NF1_r1-BLA,3046.65729317587,207.025835018835,13,N_Sst,BLA_NF1_r1-BLA
31565300096200008-BLA_NF1_r1-BLA,3036.72681480376,184.541314277928,5,N_Otof,BLA_NF1_r1-BLA
31565300096200014-BLA_NF1_r1-BLA,3118.4355525408,190.35509175381,5,N_Otof,BLA_NF1_r1-BLA
