names,center_x,center_y,cluster_no,cell_type,fov
2985094900064200007-mPFC_FR2_r1-mPFC,8463.31490884801,191.42727121756,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900065100058-mPFC_FR2_r1-mPFC,8556.87607368273,130.658817914914,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900065100096-mPFC_FR2_r1-mPFC,8574.38132636191,161.011596573081,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900066100119-mPFC_FR2_r1-mPFC,8670.67337112723,151.458209373374,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900067100222-mPFC_FR2_r1-mPFC,8801.51083982184,133.098435955015,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900068100119-mPFC_FR2_r1-mPFC,8961.70260356782,192.155916857644,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100056-mPFC_FR2_r1-mPFC,8275.25067094463,249.875124933746,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900114100096-mPFC_FR2_r1-mPFC,8363.5660439563,291.445668050762,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100098-mPFC_FR2_r1-mPFC,8348.09638487408,291.652154431213,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100110-mPFC_FR2_r1-mPFC,8291.55027441594,298.90557936238,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100115-mPFC_FR2_r1-mPFC,8337.12438458349,307.701062391925,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100119-mPFC_FR2_r1-mPFC,8284.63040774288,316.802671879913,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100120-mPFC_FR2_r1-mPFC,8293.34958527332,312.99652120207,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100126-mPFC_FR2_r1-mPFC,8271.91041997434,320.235783480843,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100158-mPFC_FR2_r1-mPFC,8310.2534181044,271.036873301618,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100161-mPFC_FR2_r1-mPFC,8325.49228517905,243.84521304826,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100175-mPFC_FR2_r1-mPFC,8340.55063724899,280.644069693156,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100183-mPFC_FR2_r1-mPFC,8295.11246678261,302.037238269165,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100184-mPFC_FR2_r1-mPFC,8345.35754864551,307.296497908914,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114100185-mPFC_FR2_r1-mPFC,8290.19724906113,317.862513310434,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900114100189-mPFC_FR2_r1-mPFC,8283.88869352382,326.439894577289,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900114200011-mPFC_FR2_r1-mPFC,8340.81488726699,282.508770699391,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900115100036-mPFC_FR2_r1-mPFC,8448.26625151986,222.578869861974,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100068-mPFC_FR2_r1-mPFC,8470.50724635128,238.233009264199,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100091-mPFC_FR2_r1-mPFC,8387.84504642154,250.479805670256,1,N_Slc30a3,mPFC_FR2_r1-mPFC
2985094900115100110-mPFC_FR2_r1-mPFC,8394.73033983547,257.665057269391,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100121-mPFC_FR2_r1-mPFC,8433.34214066331,268.677360132399,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100123-mPFC_FR2_r1-mPFC,8455.93802520634,272.73973435856,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100124-mPFC_FR2_r1-mPFC,8478.79203308999,269.932852624364,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100125-mPFC_FR2_r1-mPFC,8397.43810255834,271.496850668501,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100127-mPFC_FR2_r1-mPFC,8463.66207153364,272.781776497212,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100150-mPFC_FR2_r1-mPFC,8448.71532506417,285.003088616692,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100160-mPFC_FR2_r1-mPFC,8470.0934216806,298.123669917541,13,N_Sst,mPFC_FR2_r1-mPFC
2985094900115100163-mPFC_FR2_r1-mPFC,8478.79665115194,299.191147654457,13,N_Sst,mPFC_FR2_r1-mPFC
2985094900115100173-mPFC_FR2_r1-mPFC,8409.0253913336,304.625267649419,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100176-mPFC_FR2_r1-mPFC,8375.68644139044,306.703166803948,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100178-mPFC_FR2_r1-mPFC,8427.4493493601,309.2841140991,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100231-mPFC_FR2_r1-mPFC,8388.52364461679,237.094476853373,11,N_Lhx6,mPFC_FR2_r1-mPFC
2985094900115100250-mPFC_FR2_r1-mPFC,8458.60615585719,273.329081486606,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100251-mPFC_FR2_r1-mPFC,8479.16973886505,278.340124854277,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100264-mPFC_FR2_r1-mPFC,8407.97117693541,303.409584827717,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100265-mPFC_FR2_r1-mPFC,8430.62857201028,309.922283651271,1,N_Slc30a3,mPFC_FR2_r1-mPFC
2985094900115100266-mPFC_FR2_r1-mPFC,8451.26302331281,315.788158976381,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100269-mPFC_FR2_r1-mPFC,8392.65349772692,322.547266560462,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100281-mPFC_FR2_r1-mPFC,8397.4339623052,284.317096941271,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115100284-mPFC_FR2_r1-mPFC,8389.86348389106,321.727493216744,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115200008-mPFC_FR2_r1-mPFC,8405.07234906738,241.433162639217,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115200019-mPFC_FR2_r1-mPFC,8476.52095539026,279.836158727465,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900115200031-mPFC_FR2_r1-mPFC,8433.05464404424,328.451729440002,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900116100012-mPFC_FR2_r1-mPFC,8513.31950566597,218.253653447447,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100017-mPFC_FR2_r1-mPFC,8567.78695591365,220.36839058188,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100019-mPFC_FR2_r1-mPFC,8544.23046713233,223.933839118673,1,N_Slc30a3,mPFC_FR2_r1-mPFC
2985094900116100021-mPFC_FR2_r1-mPFC,8521.23242293227,229.858753386358,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100025-mPFC_FR2_r1-mPFC,8588.49002740277,252.007533340405,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100034-mPFC_FR2_r1-mPFC,8579.30792444704,238.224597978226,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100039-mPFC_FR2_r1-mPFC,8514.85278119522,243.339375684909,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100049-mPFC_FR2_r1-mPFC,8535.72524478423,285.44333685498,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100071-mPFC_FR2_r1-mPFC,8595.44278388009,265.282931380659,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100072-mPFC_FR2_r1-mPFC,8583.99595975255,269.520652684739,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100073-mPFC_FR2_r1-mPFC,8549.81606259619,268.750358521582,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100076-mPFC_FR2_r1-mPFC,8526.90151335671,271.995451596075,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100101-mPFC_FR2_r1-mPFC,8545.71209222074,303.572324240479,11,N_Lhx6,mPFC_FR2_r1-mPFC
2985094900116100105-mPFC_FR2_r1-mPFC,8592.65107768162,315.647269324964,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900116100109-mPFC_FR2_r1-mPFC,8571.70214600897,318.807930793896,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100135-mPFC_FR2_r1-mPFC,8576.62185218172,233.40277484073,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100138-mPFC_FR2_r1-mPFC,8515.09088923531,242.608850738571,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100139-mPFC_FR2_r1-mPFC,8583.81264831816,241.75402710188,11,N_Lhx6,mPFC_FR2_r1-mPFC
2985094900116100141-mPFC_FR2_r1-mPFC,8574.02205928715,247.276171904425,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100143-mPFC_FR2_r1-mPFC,8545.80027172358,256.264886704794,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100146-mPFC_FR2_r1-mPFC,8562.5688901205,254.684216726407,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116100148-mPFC_FR2_r1-mPFC,8526.90460661831,321.43431748064,11,N_Lhx6,mPFC_FR2_r1-mPFC
2985094900116100165-mPFC_FR2_r1-mPFC,8600.22419744813,255.50043818486,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116200014-mPFC_FR2_r1-mPFC,8548.05876183942,256.066748793673,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116200021-mPFC_FR2_r1-mPFC,8492.98338021996,274.888292353738,20,N_Npy,mPFC_FR2_r1-mPFC
2985094900116200024-mPFC_FR2_r1-mPFC,8502.83010289015,293.51442370632,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900116200035-mPFC_FR2_r1-mPFC,8512.45470049563,325.756726209789,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100024-mPFC_FR2_r1-mPFC,8724.85333738618,223.017544456161,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100031-mPFC_FR2_r1-mPFC,8616.15636058814,226.813204333897,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100040-mPFC_FR2_r1-mPFC,8706.83876248151,233.703211819908,17,N_Vip,mPFC_FR2_r1-mPFC
2985094900117100046-mPFC_FR2_r1-mPFC,8633.78387372236,235.218640809653,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100050-mPFC_FR2_r1-mPFC,8679.06651170744,237.500959135222,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100052-mPFC_FR2_r1-mPFC,8671.55943191322,240.13832744363,5,N_Otof,mPFC_FR2_r1-mPFC
2985094900117100053-mPFC_FR2_r1-mPFC,8717.26111773416,240.481395443431,5,N_Otof,mPFC_FR2_r1-mPFC
