names,center_x,center_y,cluster_no,cell_type,fov
2944521900219100184-mPFC_HC1_r2-mPFC,10971.2880659628,1101.6618764816,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900219100238-mPFC_HC1_r2-mPFC,10984.2694473864,1101.30524429186,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900220100061-mPFC_HC1_r2-mPFC,11014.4975097951,1038.77933843278,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900220100075-mPFC_HC1_r2-mPFC,11004.4772150654,1047.12914488218,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900220200037-mPFC_HC1_r2-mPFC,10997.8774165981,1087.10894201767,16,N_Dusp1,mPFC_HC1_r2-mPFC
2944521900230100062-mPFC_HC1_r2-mPFC,12259.9086183443,1049.54775921836,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900230100073-mPFC_HC1_r2-mPFC,12251.4098706368,1063.42985837507,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900230100078-mPFC_HC1_r2-mPFC,12239.0155631463,1063.27466917145,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900230100083-mPFC_HC1_r2-mPFC,12288.165273033,1067.52775491738,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900230100099-mPFC_HC1_r2-mPFC,12284.682687052,1078.40199273244,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900230200028-mPFC_HC1_r2-mPFC,12288.1196003164,1091.56022962293,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900231100105-mPFC_HC1_r2-mPFC,12308.9548066305,1057.36541410527,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900231100125-mPFC_HC1_r2-mPFC,12332.3454674745,1070.14064931483,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900231100129-mPFC_HC1_r2-mPFC,12304.2359512318,1071.57335928866,5,N_Otof,mPFC_HC1_r2-mPFC
2944521900231100169-mPFC_HC1_r2-mPFC,12320.3282863563,1090.38900172741,5,N_Otof,mPFC_HC1_r2-mPFC
