names,center_x,center_y,cluster_no,cell_type,fov
2997380200267200018-mPFC_NF3_r0-mPFC,3230.46716031832,5664.61036838281,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200275100391-mPFC_NF3_r0-mPFC,4197.49603213332,5664.35424340659,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200325100035-mPFC_NF3_r0-mPFC,3032.10462046217,5781.21311159189,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200327100097-mPFC_NF3_r0-mPFC,3205.38339236222,5736.38795655235,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200329100058-mPFC_NF3_r0-mPFC,3424.8869997662,5710.54566774472,2,N_Baiap3,mPFC_NF3_r0-mPFC
2997380200331200047-mPFC_NF3_r0-mPFC,3686.80074410226,5785.31613094255,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200333100115-mPFC_NF3_r0-mPFC,3989.40928067699,5760.66134749391,17,N_Vip,mPFC_NF3_r0-mPFC
2997380200333100134-mPFC_NF3_r0-mPFC,3959.4599964022,5781.06970080774,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200334100123-mPFC_NF3_r0-mPFC,4037.99775918211,5752.72999073044,17,N_Vip,mPFC_NF3_r0-mPFC
2997380200335100124-mPFC_NF3_r0-mPFC,4174.18288457596,5742.21555687028,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200335100136-mPFC_NF3_r0-mPFC,4224.63592699375,5760.81649005598,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335100145-mPFC_NF3_r0-mPFC,4215.4835292566,5771.34922782855,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335100157-mPFC_NF3_r0-mPFC,4187.24893282404,5783.44296195421,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335100202-mPFC_NF3_r0-mPFC,4216.38875911336,5774.05505279957,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335200028-mPFC_NF3_r0-mPFC,4201.88666691419,5785.07925635384,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335200029-mPFC_NF3_r0-mPFC,4232.41021738121,5783.28794178985,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335200043-mPFC_NF3_r0-mPFC,4231.29719851291,5761.6126452614,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200335200047-mPFC_NF3_r0-mPFC,4234.95807629149,5780.8823126476,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200336100031-mPFC_NF3_r0-mPFC,4289.45396647177,5690.53431361087,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200336100059-mPFC_NF3_r0-mPFC,4347.48041834192,5706.83851207465,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200336100112-mPFC_NF3_r0-mPFC,4260.99939082526,5754.55146372913,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200336100224-mPFC_NF3_r0-mPFC,4337.59516788301,5779.86297543027,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200337100071-mPFC_NF3_r0-mPFC,4463.27628269919,5727.95067808645,17,N_Vip,mPFC_NF3_r0-mPFC
2997380200337100203-mPFC_NF3_r0-mPFC,4472.90718786869,5782.79825044519,5,N_Otof,mPFC_NF3_r0-mPFC
2997380200338100126-mPFC_NF3_r0-mPFC,4571.07149588432,5748.59693876749,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200385100050-mPFC_NF3_r0-mPFC,2977.25226520449,5846.11267233176,2,N_Baiap3,mPFC_NF3_r0-mPFC
2997380200385100059-mPFC_NF3_r0-mPFC,2973.45968450348,5863.09028736461,2,N_Baiap3,mPFC_NF3_r0-mPFC
2997380200385100113-mPFC_NF3_r0-mPFC,3031.25628136383,5785.99059959397,20,N_Npy,mPFC_NF3_r0-mPFC
2997380200386100044-mPFC_NF3_r0-mPFC,3146.53425522398,5810.42429311895,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200386200020-mPFC_NF3_r0-mPFC,3169.24901980512,5895.46245555788,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100015-mPFC_NF3_r0-mPFC,3280.14382451657,5795.34511347341,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100075-mPFC_NF3_r0-mPFC,3237.0604386651,5824.1420012896,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100104-mPFC_NF3_r0-mPFC,3209.43711424694,5849.6425625477,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100116-mPFC_NF3_r0-mPFC,3228.1444354419,5856.77051260823,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100133-mPFC_NF3_r0-mPFC,3189.88246195099,5876.10219376357,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100136-mPFC_NF3_r0-mPFC,3209.00047801807,5875.62540649793,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100140-mPFC_NF3_r0-mPFC,3235.20840728783,5878.21919947367,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100144-mPFC_NF3_r0-mPFC,3254.99266676343,5885.85878965235,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100145-mPFC_NF3_r0-mPFC,3273.21241752243,5889.14676502197,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100146-mPFC_NF3_r0-mPFC,3242.74424839892,5887.72889122838,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100151-mPFC_NF3_r0-mPFC,3204.94066414891,5890.83668564168,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100154-mPFC_NF3_r0-mPFC,3231.64534919959,5895.13096894129,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100157-mPFC_NF3_r0-mPFC,3251.94619702024,5899.76081845141,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100162-mPFC_NF3_r0-mPFC,3215.10681688282,5898.0083193072,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100165-mPFC_NF3_r0-mPFC,3193.95688913972,5903.89424762261,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387100188-mPFC_NF3_r0-mPFC,3214.80633873924,5836.28297281308,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100192-mPFC_NF3_r0-mPFC,3236.11698244213,5860.48298497238,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100194-mPFC_NF3_r0-mPFC,3252.81818488307,5877.25017301218,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100196-mPFC_NF3_r0-mPFC,3258.45756855383,5887.60263637678,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100205-mPFC_NF3_r0-mPFC,3253.46598572486,5848.39032824843,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100207-mPFC_NF3_r0-mPFC,3225.69292997281,5856.84067095003,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387100208-mPFC_NF3_r0-mPFC,3279.4902998288,5884.65669733617,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387200009-mPFC_NF3_r0-mPFC,3227.87469485073,5833.40187872248,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387200017-mPFC_NF3_r0-mPFC,3173.12993735399,5853.88544335195,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387200025-mPFC_NF3_r0-mPFC,3200.56380656509,5878.24963942908,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200387200027-mPFC_NF3_r0-mPFC,3252.85530489939,5878.2018871368,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387200038-mPFC_NF3_r0-mPFC,3285.03880829355,5899.58306837079,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387200054-mPFC_NF3_r0-mPFC,3286.1595068801,5854.07332364144,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200387200070-mPFC_NF3_r0-mPFC,3198.6668711775,5877.67820646697,3,N_Vipr2,mPFC_NF3_r0-mPFC
2997380200388100034-mPFC_NF3_r0-mPFC,3369.65665476188,5808.72547503166,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100039-mPFC_NF3_r0-mPFC,3316.35193187863,5812.52679784092,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100061-mPFC_NF3_r0-mPFC,3321.65301616027,5823.66890296362,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100066-mPFC_NF3_r0-mPFC,3313.5350555201,5828.79566482264,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100073-mPFC_NF3_r0-mPFC,3335.0010542319,5837.3585990723,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100078-mPFC_NF3_r0-mPFC,3317.73802557834,5842.54678211296,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100084-mPFC_NF3_r0-mPFC,3338.18918470371,5848.42900209232,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100091-mPFC_NF3_r0-mPFC,3394.67758195291,5861.09087081943,9,N_Rprm,mPFC_NF3_r0-mPFC
2997380200388100102-mPFC_NF3_r0-mPFC,3377.83907419156,5864.89326606346,9,N_Rprm,mPFC_NF3_r0-mPFC
